"","YearEnd","LocationDesc","Stratification1","Soda 1/day","Obesity","Overweight","PE daily","TV >3hrs daily","No vege daily","No fruit daily","Excercise Daily > 1hr"
"65",2017,"Louisiana","Female",27.8,13.6,18.7,28.3,32.3,57.2,54.1,15.9
"66",2017,"Maine","Female",19.6482394366197,10.2,16.9,5.9,24.1,39.9402898550725,38.9,15.2
"67",2017,"Maryland","Female",12.1,10.4,16,12.3,23,43.5,47.5,12.6
"68",2017,"Massachusetts","Female",8.2,8.9,14.6,15.1,27.9302139037433,37.6,38.3,17.1
"69",2017,"Michigan","Female",14.9,14.1,19.4,16,21.3,42.4,43.6,16.7
"70",2017,"Missouri","Female",19.6482394366197,14.4,16.2,24.9,22,45.1,53,21.8
"71",2017,"Montana","Female",10.9,8.7,14.2,30.5,18.6,37.5,43,18.7
"72",2017,"National","Female",15.4,12.1,16.8,25.3,20.6,40.7,41.8,17.5
"73",2017,"Nebraska","Female",11.9,12.1,17.5,22.4,18.1,37.9,43.4,21.2
"74",2017,"Nevada","Female",11.4,10.9,14.2,25.1,27.9302139037433,39.9402898550725,48.7,18.4
"75",2017,"New Hampshire","Female",8.2,9.6,14.6,21.6532033426184,27.9302139037433,39.9402898550725,38.3,15.3
"76",2017,"New Mexico","Female",16.8,12.2,17.7,21.7,21,42.2,48.7,22.4
"77",2017,"New York","Female",11.4,10.7,18.2,14.4,22.8,39.9402898550725,42,18.5
"78",2017,"North Carolina","Female",18.1,12.1,17.8,19.7,25.1,42.1,42.2,13.9
"79",2017,"North Dakota","Female",11.4,12.9,16.1,21.6532033426184,18.1,38.4,38.9,17.7
"80",2017,"Oklahoma","Female",22.5,17,19.4,19.7,26.5,47.2,55.8,21.1
"81",2017,"Pennsylvania","Female",12.4,11.3,16.2,17.9,22.4,38.7,46.3,16
"82",2017,"Puerto Rico","Female",25.1,8.8,14.1,0.2,23.1,66.9,59.5,10.6
"83",2017,"Rhode Island","Female",9.4,12.9,17.1,14.9,20.1,42,41.7,15.1
"84",2017,"South Carolina","Female",22.7,16.8,17.6,14.5,26.5,50.2,49.5,14.1
"85",2017,"Tennessee","Female",22.7,16.9,18.2,23.3,24.8,48.6,49.6,17.6
"86",2017,"Texas","Female",13.4,16.1,20.3,29.9,21.5,48.9,48.5,18.6
"87",2017,"Utah","Female",10.6,5.3,13.6,17.8,17.1,36.5,42.1,12.9
"88",2017,"Vermont","Female",6.4,10.1,14.6,21.6532033426184,27.9302139037433,26.8,34.5,17.3
"89",2017,"Virginia","Female",13.7,11.1,16.6,9.4,18.6,37.2,43.2,15.2
"90",2017,"West Virginia","Female",21.4,15.4,18.2,23.3,23.7,42.6,46.9,16.1
"91",2017,"Wisconsin","Female",11,10.7,16.8,34.5,17.1,40.3,40.2,16.7
"92",2015,"Alabama","Female",28.6,13.5,17,25.2,33.5,51,53.1,15.2
"93",2015,"Alaska","Female",14.5,10.9,18.1,13.2,20.1,35.7,44.8,17
"94",2015,"Arizona","Female",16.3,7,14.2,21.5,26.2,40,40.6,19.3
"95",2015,"Arkansas","Female",26.1,14.7,18.5,25.2,30.8,46.1,50.4,20.7
"96",2015,"California","Female",12.3,9.2,15.8,36.9,22.3,38.6,33.9,18.9
"97",2015,"Connecticut","Female",7.8,9.3,14.1,10.5,22.3,33.7,35.7,18.1
"98",2015,"Delaware","Female",16.9,13.3,17.3,9.6,27.2,39.9402898550725,39.3,17.6
"99",2015,"District of Columbia","Female",18.4,14.4,20.8,21.6532033426184,32.6,51.8,49.8,11.7
"100",2015,"Florida","Female",17,8.7,15.5,14.1,27.8,44.4,42.3,14.3
"101",2015,"Guam","Female",16.1,16.4,22.6,7.2,22.5,42.9,58,15.6
"102",2015,"Hawaii","Female",10.2,8.1,15.1,5,21.8,39.9402898550725,53.5,14.2
"103",2015,"Idaho","Female",9.7,7.4,14.3,16.9,20.6,33.9,41.5,21.1
"104",2015,"Illinois","Female",14.1,8.4,14.6,59.8,21.6,43.8,41.2,19.9
"105",2015,"Indiana","Female",15.7,9.7,18.1,21.6,22.2,41.1,41.8,16.5
"106",2015,"Kentucky","Female",31.6,16.2,19.2,19.3,25.4,41.2,47.3,12.9
"107",2015,"Maine","Female",19.6482394366197,9.1,14.8,4.9,22.7,39.9402898550725,38.5,15.6
"108",2015,"Maryland","Female",14.2,8.8,15.4,12.6,27.1,41.7,45.5,14.1
"109",2015,"Massachusetts","Female",9.7,7.2,14.7,18.4,27.9302139037433,38.2,39.8,17.6
"110",2015,"Michigan","Female",14.8,11.5,16.2,16.1,20.9,41.7,44.2,19.3
"111",2015,"Mississippi","Female",29.1,16.2,19.2,24.3,36.1,48.7,52.8,13.9
"112",2015,"Missouri","Female",17.1,10.3,12.4,18.2,23.9,43.9,47.9,19
"113",2015,"Montana","Female",12.9,7.4,14.9,28.3,22,34.5,41.9,20.7
"114",2015,"National","Female",16.4,10.8,16.6,25.5,24.4,40,37.9,17.7
"115",2015,"Nebraska","Female",15.8,9.3,16.4,26.9,19.1,36.8,41.3,23.6
"116",2015,"Nevada","Female",11.3,6.3,14.1,27.6,22.1,42.1,42.8,21.2
"117",2015,"New Hampshire","Female",7.5,7.9,14.4,21.6532033426184,18.6,39.9402898550725,43.6245989304813,15.1
"118",2015,"New Mexico","Female",17.7,11.6,16.6,23.4,24.9,42.6,47.7,23.4
"119",2015,"New York","Female",11.3,10.1,13.9,18.7,27,39.9402898550725,41.5,19
"120",2015,"North Carolina","Female",23.9,12.5,17.2,19.9,30.3,40,41.7,14.8
"121",2015,"North Dakota","Female",12.3,8.6,17.1,34.6,16.7,40.6,35.6,15.7
"122",2015,"Oklahoma","Female",25.3,12.9,16.7,26.8,28.2,43.8,48.2,21.5
"123",2015,"Pennsylvania","Female",12.9,12.4,16.7,15,27.2,39.4,44.4,17.3
"124",2015,"Puerto Rico","Female",31.4,10.3,15.7,21.6532033426184,29.9,61,42.6,12.3
"125",2015,"Rhode Island","Female",9.5,7.6,14.1,20,21.9,39.6,40.3,12.6
"126",2015,"South Carolina","Female",26.5,13.4,17.5,15.2,29.1,54.4,57.2,13.6
"127",2015,"South Dakota","Female",17.4,10.3,13.3,11,21.7,39.2,45.5,18.8
"128",2015,"Tennessee","Female",26,14.2,17.8,21.6,29.6,50,51.6,17.6
"129",2015,"Vermont","Female",9.5,8.6,13.9,21.6532033426184,27.9302139037433,26.6,33.3,15.6
"130",2015,"Virginia","Female",14.2,11.4,15.7,11.8,23.5,40.3,44.3,17.6
"131",2015,"West Virginia","Female",26.4,12.2,17.1,24.7,28.6,42.3,43.8,18.3
