"","X","Soda_a_day","Obesity","Overweight","PE_daily","TV_.3hrs_daily","No_vege_daily","No_fruit_daily","Excercise_Daily_..1hr","total"
"140",140,24.4,12.7,17.1,33.6,32.2,45.2,43.1,24.7,11
"141",141,15.8,13.4,14.9,7.3,29.3,39.4,45.2,22,13
"142",142,15.4,9.6,15.7,22.4,19.6,33.1,37.2,27.9,14
"143",143,22,11.5,14.4,63.6,29.1,39.9,36.8,25.4,15
"144",144,21.6,12.6,16.3,27.9,25,36.6,40.5,28.3,18
"145",145,32.9,18,15.4,19.3,26.7,42.7,44.6,22.5,19
"146",146,21.2,13.5,16.4,33.6,33.7,43.1,43.6,30.9,20
"147",147,12.6,11.6,14.2,4.5,23.1,36,36.7,22.3,21
"148",148,18,11,14.8,18.2,31.4,37.8,39.6,21.6,22
"149",149,14.2,10.2,12.9,16.7,25,39.1,39.5,23,23
"150",150,19.6,13,15.5,26.8,27,37.6,39.7,26.7,24
"151",151,37.1,15.4,13.2,28.7,39.5,44.8,51.1,25.9,25
"152",152,23.4,14.9,15.5,30.9,25.6,41.5,45,27.2,26
"153",153,18.2,9.4,12.9,34.9,22.6,33.2,39,27.7,27
"154",154,27,13.7,16.6,29.4,32.5,38.5,37.4,27.1,28
"155",155,22.3,12.7,13.8,34.9,22.8,38.6,37.8,32.3,29
"156",156,17,11.4,14.6,25.9,29.3,42.1,41.2,24,30
"157",157,16.3,11.2,13.8,18.2,19.7,33.5,32.1,22.9,31
"158",158,12.2,8.7,14,45.2,28.5,37.3,37.2,27.6,32
"159",159,21.2,12.6,15,25.1,26.4,37.6,42.1,31.1,33
"160",160,20.4,10.6,13.8,18.9,27.4,37.1,37.2,25.7,34
"161",161,28,12.5,15.2,32.8,33,38.7,42.7,25.9,35
"162",162,23.4,13.5,15.1,24.2,21,37.2,35.3,24.7,36
"163",163,20.5,13,15.9,22,28.2,38.3,38.8,25.9,37
"164",164,31.3,11.8,15.3,32.2,31.9,44.4,48.3,38.5,38
"165",165,17.4,10.7,16.2,25.7,27.1,36.1,38.1,23.2,41
