"","YearStart","LocationAbbr","StratificationCategory1","Stratification1","Soda","Obesity","Overweight","DailyPE","WatchTV","Veg","Fruit","Exercise"
"3978",2011,"CO","Total","Total",23,7.3,10.7,NA,21.2,NA,NA,29.2
"3979",2003,"MA","Grade","9th",NA,9.5,15.9,14.2,38.3,NA,NA,NA
"3980",2001,"ID","Grade","9th",NA,9.2,10.9,28,29.7,31.3,39.7,NA
"3981",2009,"NY","Race/Ethnicity","Asian",13.8,5.1,11.8,32.3,24.3,NA,30.2,17.5
"3982",2007,"MT","Race/Ethnicity","Non-Hispanic White",25.8,9.2,12.7,33,20.9,33.8,38.8,21.6
"3983",2011,"GA","Race/Ethnicity","Hispanic",22.2,16.5,15.2,23.8,29.5,43.7,43.2,22.7
"3984",2007,"NV","Total","Total",23.5,10.8,14.4,NA,35.1,41.5,42.8,22.6
"3985",2013,"DE","Race/Ethnicity","2 or more races",26.3,12,21.1,12.6,37.6,NA,40.3,34.4
"3986",2011,"DE","Grade","11th",26.9,11,17.8,15.2,36.9,NA,40.3,25.9
"3987",2003,"AL","Grade","10th",NA,11.7,17.1,27.3,44.5,44.9,51.2,NA
"3988",2017,"CO","Gender","Female",NA,6.7,12.9,12.8,16.9,NA,NA,20.4
"3989",2011,"MA","Grade","10th",17.2,9,16.3,17.7,28.7,NA,NA,NA
"3990",2009,"NH","Gender","Male",29.6,16.3,13.5,25.6,27.1,NA,NA,31.4
"3991",2007,"CT","Race/Ethnicity","Non-Hispanic White",NA,9.4,12.1,NA,23.6,28,32.9,26.6
"3992",2007,"MI","Grade","9th",31.5,13,18.5,43.8,32.8,40,39.4,26.9
"3993",2009,"NV","Total","Total",22.1,10.9,13.2,NA,35.1,44.9,43.9,24.9
"3994",2005,"WV","Grade","10th",NA,12.8,14.6,34.1,39.4,32.3,35.8,NA
"3995",2001,"VT","Race/Ethnicity","2 or more races",NA,10.5,17.3,24,NA,28.5,34.2,NA
"3996",2007,"NH","Gender","Female",14.8,7,12.7,14,18.3,25,35.7,17.3
"3997",2011,"DE","Gender","Male",29.8,14.9,14.1,27.4,38.3,NA,42.8,32.4
"3998",2013,"VT","Grade","10th",NA,14.2,15.8,15,NA,NA,NA,25.7
"3999",2015,"RI","Race/Ethnicity","Non-Hispanic White",10.6,9.5,13.4,18.4,19.4,37.9,37.9,22.7
"4000",2007,"DE","Race/Ethnicity","Non-Hispanic White",33.3,10.9,14.1,27.8,26.4,NA,47.3,23.9
"4001",2011,"IN","Gender","Female",23.7,11.5,18.5,16.6,27.1,41.4,46.4,15.8
"4002",2007,"US","Race/Ethnicity","Hawaiian/Pacific Islander",34.6,NA,NA,NA,35.8,NA,34.4,NA
"4003",2011,"NE","Race/Ethnicity","Non-Hispanic White",26.1,10.4,12.4,33.6,23.1,36.4,41.6,29.2
"4004",2013,"ND","Grade","10th",23.4,12.9,15.3,NA,22.6,37.7,39,27
"4005",2001,"MI","Race/Ethnicity","2 or more races",NA,11.4,15.9,33.9,38.7,43.9,37.2,NA
"4006",2005,"AR","Race/Ethnicity","Non-Hispanic Black",NA,18.7,20.6,22.8,56.8,61,49.9,NA
"4007",2011,"NH","Grade","12th",NA,11.4,13.9,NA,NA,29.7,35.9,NA
"4008",2005,"ND","Race/Ethnicity","Non-Hispanic White",NA,8.9,12.5,38.1,22.9,34.2,41.9,NA
"4009",2009,"NM","Grade","12th",30,14.8,15,18.1,30.3,35.8,45.4,21.8
"4010",2009,"MA","Race/Ethnicity","Hispanic",23.1,15,18.8,20.1,42.3,NA,NA,NA
"4011",2015,"MI","Race/Ethnicity","2 or more races",14.4,17.5,13.2,24.7,22.7,36.2,25.5,23.4
"4012",2003,"WI","Race/Ethnicity","Non-Hispanic White",NA,9.9,13,NA,NA,NA,NA,NA
"4013",2009,"NC","Race/Ethnicity","Non-Hispanic White",35.3,10.5,11.7,NA,26.4,36.7,46.2,27
"4014",2011,"AK","Grade","10th",14.2,14,14.7,18.9,23.1,36.1,42,22.7
"4015",2005,"DE","Race/Ethnicity","Non-Hispanic Black",NA,17.8,17.7,33.9,66.7,48.3,43.9,NA
"4016",2007,"NY","Race/Ethnicity","2 or more races",21.7,7.4,16.9,8.3,38.1,NA,39.4,23.8
"4017",2013,"NH","Grade","11th",NA,11.7,9.4,10.3,NA,NA,NA,20.1
"4018",2017,"NC","Race/Ethnicity","Non-Hispanic Black",20.3,17.2,16.8,22.3,37,51,42.1,19.3
"4019",2005,"ND","Gender","Female",NA,6.2,12.4,32.2,22.1,34.6,43.8,NA
"4020",2011,"MD","Total","Total",24.9,12,15.4,19.3,34.2,38.9,38.7,NA
"4021",2009,"MI","Race/Ethnicity","Non-Hispanic Black",31.9,18.2,17.3,31.2,47.7,47.9,44.9,22.5
"4022",2013,"ME","Total","Total",NA,11.6,14.2,4.5,23.1,NA,36.7,22.3
"4023",2007,"NV","Race/Ethnicity","Non-Hispanic White",23.8,6.4,12.6,NA,29.1,37.8,44.7,26.5
"4024",2011,"MS","Gender","Male",43.4,18.2,14.9,34.9,42.4,38.4,36.5,37.4
"4025",2007,"KY","Grade","11th",40.9,17.6,16,10.1,25.8,41.7,51.8,14.3
"4026",2007,"HI","Gender","Male",23.5,19.2,13.2,9,32,44.6,48.1,22.3
"4027",2003,"TN","Race/Ethnicity","Non-Hispanic White",NA,13.7,13.4,27.9,35.4,34.3,46.8,NA
"4028",2011,"VA","Race/Ethnicity","Non-Hispanic Black",24.1,16.8,23.9,20.5,49.3,57.6,38.2,24.3
"4029",2001,"MA","Race/Ethnicity","Asian",NA,7.2,10.4,9.9,37,NA,NA,NA
"4030",2003,"WI","Grade","11th",NA,11,15.9,NA,NA,NA,NA,NA
"4031",2003,"VT","Gender","Male",NA,14,14.8,16.2,NA,27.7,29.3,NA
"4032",2015,"OK","Grade","12th",29.3,19.8,12.6,29,28.2,38.8,53,27.5
"4033",2007,"VT","Grade","10th",24.2,11.9,13.6,21.1,NA,29.5,30.8,28
"4034",2001,"MI","Grade","9th",NA,11.5,15.4,45.7,34.9,37.3,38.6,NA
"4035",2009,"OK","Race/Ethnicity","Hispanic",27.9,14.5,22.3,31,37.1,48.5,41.9,23.8
"4036",2003,"GA","Gender","Female",NA,6.6,14.8,20.9,40.6,40.3,47.6,NA
"4037",2013,"NE","Grade","9th",22.6,10,16.2,47.6,24.7,38.4,35,38.9
"4038",2007,"MD","Grade","9th",NA,13.6,15.4,26.5,43.9,45.1,49.6,NA
"4039",2013,"CT","Grade","9th",14.8,14.2,12.2,NA,26.5,38.1,36.2,25.9
"4040",2001,"MS","Race/Ethnicity","Non-Hispanic Black",NA,15.3,17,24.9,73.5,51.4,35.6,NA
"4041",2011,"NY","Total","Total",21.4,11,14.7,18.5,30.6,NA,34.7,25.1
"4042",2003,"GA","Grade","9th",NA,10.9,14.9,46.5,44.1,41.9,43.8,NA
"4043",2003,"MI","Total","Total",NA,12.3,14.8,27.5,34.8,38.6,41.6,NA
"4044",2015,"NC","Grade","12th",29.3,14.9,13.7,14.7,27.9,41.5,45.8,19.3
