"","YearStart","LocationAbbr","StratificationCategory1","Stratification1","Soda","Obesity","Overweight","DailyPE","WatchTV","Veg","Fruit","Exercise"
"1",2019,"AL","Race/Ethnicity","Hispanic",30.8,15.3,22.7,23,26,49.8,38.3,25.4
"2",2019,"ID","Race/Ethnicity","Hispanic",13,18.5,15.2,24.7,19.4,47,48.6,20.7
"3",2019,"IA","Grade","11th",20.3,22.3,15.2,13.5,23.2,37.5,45.8,26.4
"4",2019,"LA","Gender","Female",19.3,13.6,21.1,24.5,28.3,60.4,57.4,15.2
"5",2019,"ME","Race/Ethnicity","Hispanic",NA,17,17.4,4.3,26.3,NA,41.2,22.5
"6",2019,"MA","Total","Total",11.2,14.2,14.8,22.8,NA,40.5,44.1,21.7
"7",2019,"MI","Grade","11th",14.9,13.5,14.8,20.9,18.6,44.1,43.9,22.4
"8",2019,"MI","Gender","Male",18,16.7,16.3,31.6,17.1,44.7,42.6,27.9
"9",2019,"MS","Race/Ethnicity","Hispanic",22.7,28.9,20.5,15.4,30.6,51.7,45.4,23.2
"10",2019,"MS","Total","Total",24.7,23.4,18,24.5,27.6,57,50.4,23.4
"11",2019,"MT","Grade","11th",12,10.8,13.1,21.4,19,38.6,49.3,22
"12",2019,"NE","Grade","9th",14.7,14.5,10.4,30.3,13.7,46.2,41.1,38.3
"13",2019,"NJ","Grade","12th",8.5,14,14.2,NA,16.8,NA,45.7,17.2
"14",2019,"NY","Race/Ethnicity","Asian",6.6,10.1,14.9,25.9,13.3,NA,43.6,10.7
"15",2019,"ND","Grade","12th",16,15.9,14.2,24.3,20.1,39,51,16.8
"16",2019,"OH","Gender","Male",19.8,20,10.4,NA,NA,43.8,43.3,30.3
"17",2019,"SC","Race/Ethnicity","Non-Hispanic White",23.7,13.7,16.4,12.7,18.7,47.7,54.5,22.4
"18",2019,"TN","Grade","11th",21.5,17.7,17.4,10.4,22.8,49.4,48.9,18.5
"19",2019,"TN","Race/Ethnicity","Hispanic",18.8,23.8,19.5,14.8,23.8,51.7,45.6,18.2
"20",2019,"UT","Grade","9th",11,10.4,10.6,31.1,13.3,35.3,42.2,24.7
"21",2019,"US","Grade","9th",14.5,14.8,15.7,34.7,20,41.4,40.8,27.2
"22",2019,"GU","Race/Ethnicity","Hispanic",18.9,21.3,11,13.9,18.4,43.1,60.7,17
"23",2019,"CO","Grade","9th",NA,11.2,9.3,18.9,NA,32,40.4,27.4
"24",2019,"GA","Gender","Male",NA,20.8,15.4,NA,20.9,42.7,46.7,33.6
"25",2019,"NJ","Gender","Female",7.3,9.9,14.2,NA,19.3,NA,45.2,16.7
"26",2019,"UT","Grade","11th",11,10,10.8,7.4,15.3,35,43.8,19.6
"27",2019,"VT","Grade","9th",NA,12.4,14.2,NA,NA,29.4,36.6,25.3
"28",2019,"US","Race/Ethnicity","Asian",4.6,6.5,11,27.3,12.1,22.3,33.5,15.3
"29",2011,"US","Gender","Male",31.4,16.1,15.1,35.5,33.3,37.2,33.9,38.3
"30",2005,"US","Gender","Female",NA,9.9,15.4,29,36.3,37.5,41.8,NA
"31",2005,"ID","Grade","11th",NA,8,13.6,23.7,23.7,31.4,43.6,NA
"32",2017,"OK","Grade","12th",27.3,20,15.7,23.8,22.1,41.2,53.5,24.6
"33",2003,"US","Race/Ethnicity","Asian",NA,6.8,9.4,30.6,35.4,25.4,33.7,NA
"34",2015,"MT","Grade","10th",16.7,10.5,16,40.6,19.7,33.3,38,31.2
"35",2013,"TN","Grade","9th",35.3,20.3,17.4,35.3,34.8,46.7,48.2,28.2
"36",2007,"OH","Gender","Male",36.6,16,15.4,29.6,32.8,43,47.1,35.6
"37",2005,"US","Gender","Male",NA,15.9,15.8,37.1,38,39.1,38.5,NA
"38",2007,"US","Grade","9th",35.6,13.5,17.2,40.1,39.7,40.1,38.7,NA
"39",2011,"TX","Grade","12th",28.8,15.6,13.1,19.9,34,43.8,42.3,22.4
"40",2017,"HI","Grade","12th",11.8,12.9,14.5,4.7,19.2,44.7,56.3,16
"41",2017,"LA","Gender","Male",30.5,20.3,18,36.4,25,50.3,49.2,25.8
"42",2011,"AR","Gender","Male",34.9,19.8,14.4,28,27.7,42.4,46.9,NA
"43",2001,"TX","Total","Total",NA,14,14.6,32.9,44.4,41.3,43.9,NA
"44",2009,"GA","Grade","12th",26.9,9.9,14.8,22.8,35.7,40.4,41,22.4
"45",2011,"US","Race/Ethnicity","Hispanic",27,14.1,17.4,30,37.8,43.6,35.3,26.5
"46",2009,"NC","Grade","12th",32.4,14.5,16.6,NA,34.5,39.9,42.9,18.9
"47",2005,"US","Grade","10th",NA,13.6,14.9,35.3,40.1,38.4,38.7,NA
"48",2011,"US","Race/Ethnicity","Non-Hispanic White",28.8,11.5,14.2,33,25.6,34.3,35.8,30.4
"49",2017,"PA","Race/Ethnicity","Non-Hispanic Black",25.6,16.2,16,22.3,32.8,50.7,41.6,22.4
"50",2011,"US","Race/Ethnicity","Non-Hispanic Black",28,18.2,16.2,27.6,54.6,45.7,36.4,26
"51",2005,"HI","Grade","12th",NA,11.9,11.8,7.1,33.3,39.8,43.4,NA
"52",2009,"UT","Total","Total",14.5,6.3,10.3,21.8,16.3,32.6,35.2,NA
"53",2013,"US","Gender","Female",24.1,10.9,16.6,24,32.2,38.7,40,17.7
"54",2013,"NY","Grade","10th",20.8,10.6,15.1,19.9,29.5,NA,35.5,25.5
"55",2009,"MD","Grade","11th",23.3,13.3,12.3,16.6,35.6,35.7,37.2,NA
"56",2009,"IN","Total","Total",29.7,12.6,15.7,23,29,41.2,43.6,23.4
"57",2007,"WI","Grade","10th",24.4,9.7,13.9,NA,26.4,36.3,35,NA
"58",2009,"CT","Gender","Male",NA,13.7,16.6,NA,30.8,34.8,32.7,34.6
"59",2011,"MT","Grade","9th",21.8,8,12.7,38.5,21.8,34.3,35.8,31.8
"60",2005,"GA","Race/Ethnicity","Non-Hispanic Black",NA,16,16.4,30.5,59.8,54.1,43.9,NA
"61",2009,"IN","Gender","Male",32.9,15.6,13.9,31.2,27.7,41,41,32.3
"62",2003,"US","Total","Total",NA,12,14.7,28.4,38.2,36.9,39.3,NA
"63",2015,"AR","Grade","11th",28.6,17.9,16,22.2,27.9,45.8,49.2,25.8
"64",2013,"WI","Grade","10th",17.8,10.4,14.1,46.1,22.4,NA,31.8,22.1
"65",2003,"US","Grade","11th",NA,11.4,16.3,22.6,34.4,36.7,38.1,NA
"66",2003,"MO","Total","Total",NA,12.1,14.9,33.2,32.4,37.8,45.7,NA
"67",2017,"NM","Grade","10th",19.4,16.6,16.3,24,20.2,41.1,42.6,32
"68",2013,"ID","Total","Total",15.4,9.6,15.7,22.4,19.6,33.1,37.2,27.9
"69",2015,"AK","Gender","Female",14.5,10.9,18.1,13.2,20.1,35.7,44.8,17
"70",2017,"NM","Grade","12th",22.8,16.4,15.9,16.5,21.7,39,46.5,27.8
"71",2013,"GA","Gender","Female",23.3,11.1,16.8,28.8,32.7,45.1,44.4,15.1
"72",2005,"US","Race/Ethnicity","Asian",NA,5.4,15.6,27.9,29.2,30.9,36.2,NA
"73",2011,"LA","Grade","11th",35,18.3,15.5,31.3,34,45.1,48.7,28.3
"74",2017,"AZ","Grade","10th",17.2,12,18.6,35.1,25.3,46.6,43.3,25.5
"75",2015,"AR","Grade","10th",29.4,18.1,17.6,27.4,30.7,51.7,52.4,29.6
"76",2013,"NJ","Grade","11th",10.5,8.4,9.9,32.5,24,33.6,40,22.9
"77",2001,"US","Grade","9th",NA,10.4,15.7,48.7,45.3,36,36.1,NA
"78",2015,"MI","Gender","Male",23,17,15.8,28.8,22.4,44.1,40.2,30
"79",2009,"PA","Grade","10th",22,11.1,17.4,19.1,29.9,35.1,39.7,28
"80",2007,"US","Grade","11th",32.8,12.6,14.9,23.9,32.5,39.3,41.3,NA
"81",2011,"RI","Gender","Male",25.2,13.2,14.9,23.4,27.7,36.7,36,35.4
"82",2007,"NY","Race/Ethnicity","Hispanic",29.2,12.8,16.9,24.6,47.6,NA,38.5,18.6
"83",2001,"NJ","Grade","9th",NA,9.2,13.1,72.3,38.7,30.5,31.9,NA
"84",2013,"NH","Grade","10th",NA,13.5,15.6,25.3,NA,NA,NA,23.4
"85",2005,"OK","Grade","11th",NA,14.6,12.4,28.2,33.8,43.4,48.3,NA
"86",2017,"LA","Total","Total",28.9,17,18.3,32,28.7,53.3,51.3,20.5
"87",2011,"IA","Gender","Male",34.8,16.2,14.5,24.2,24.4,33.5,34.5,37.7
"88",2001,"US","Grade","11th",NA,10.7,12.5,22.8,34.7,34.2,39.3,NA
"89",2017,"ND","Grade","11th",17.9,16.9,16.5,NA,19.2,36.6,40.4,22.1
"90",2007,"OK","Grade","12th",39.6,13.2,14.4,25.8,28.4,41.1,55.7,26.4
"91",2013,"AR","Grade","12th",30.8,16.6,12.5,12.7,31.5,39.5,44.7,27.4
"92",2009,"GA","Grade","10th",34.1,14.1,15.1,24.8,40.9,43.3,44.8,23.9
"93",2017,"LA","Grade","12th",30.2,14.6,16.6,11.9,35.2,53.7,53,14.6
"94",2009,"US","Grade","9th",30.5,11.5,16.8,46.7,35.2,38.8,34.9,NA
"95",2017,"VA","Race/Ethnicity","Asian",5.4,7.8,8.9,9.1,10.6,24.6,37.2,11.3
"96",2017,"CO","Grade","12th",NA,11.4,12.9,10.8,18.6,NA,NA,24.6
"97",2011,"IL","Race/Ethnicity","Hispanic",22.7,15.1,19.2,66.3,34.8,51.7,37.1,19.8
"98",2001,"US","Grade","10th",NA,10.8,13.6,31.6,39.2,37.1,39.2,NA
"99",2017,"SC","Total","Total",24.3,17.2,16.5,19.3,23.9,49,49,21.7
"100",2007,"VT","Race/Ethnicity","2 or more races",29,17.1,17.7,20,NA,32.9,37.9,28.1
"101",2005,"OH","Grade","12th",NA,10.5,15.8,NA,39.1,NA,45,NA
"102",2005,"KS","Total","Total",NA,11.8,13.2,27.8,28.8,33.2,38,NA
"103",2009,"OK","Grade","11th",41.2,11.2,13.9,33.7,26.3,48.9,51.8,28.2
"104",2017,"ID","Grade","12th",13.2,12.3,15.2,13.4,19.2,42.8,37.4,16.6
"105",2007,"OK","Total","Total",40.7,14.6,15.1,34.3,33.3,43.6,49.7,29.4
"106",2007,"KS","Race/Ethnicity","Hispanic",31.9,17.8,18.9,31,37.1,39.2,38.7,22.1
"107",2003,"OH","Gender","Female",NA,9.3,12.9,27.1,30.8,NA,38.4,NA
"108",2007,"NY","Gender","Female",20.4,7.4,16,11.9,35.1,NA,37.5,13.3
"109",2009,"NV","Gender","Male",26.4,15,13.3,NA,33.9,42.7,40.4,33
"110",2015,"PA","Race/Ethnicity","Hispanic",20.3,16,18.1,24.6,34.3,51.2,41.4,22.6
"111",2017,"PA","Grade","12th",16.1,14.3,14.5,20,18.5,37.4,47.3,24.3
"112",2009,"ND","Total","Total",26.3,10.9,13.4,NA,25.6,41.4,42,NA
"113",2003,"NE","Gender","Male",NA,14.7,15.9,42.1,30.3,34.3,40,NA
"114",2005,"ID","Gender","Female",NA,5.5,12.3,23.2,18.9,33.7,39.1,NA
"115",2003,"RI","Grade","12th",NA,9.1,11.2,23.5,23.8,31.1,26.8,NA
"116",2011,"FL","Gender","Female",22.6,7.7,13.4,16.2,35.5,41.9,39.5,NA
"117",2005,"AR","Grade","9th",NA,14.9,16.9,43.9,43.5,45.1,53.1,NA
"118",2011,"VT","Total","Total",16.1,9.9,13,13.4,NA,26.4,30.7,24.4
"119",2017,"AK","Race/Ethnicity","Hispanic",13,22.6,15.2,14.1,22,37.4,44.7,17.8
"120",2001,"WY","Gender","Female",NA,3.6,9.1,27.8,19.1,30.1,39.2,NA
"121",2017,"CT","Gender","Male",12.4,14.6,14.7,8.9,15.6,37.9,40,29.7
"122",2013,"US","Race/Ethnicity","Asian",12.2,5.6,13.6,26.4,24.5,27.2,28,21.8
"123",2001,"ME","Gender","Male",NA,14.8,16.2,5.3,27.6,26.8,37,NA
"124",2013,"AZ","Gender","Male",22.2,14.1,13.4,27.7,26.6,NA,NA,27.8
"125",2009,"US","Race/Ethnicity","Hispanic",28.1,14.9,19.3,40.5,41.9,45.9,35.6,NA
"126",2013,"MA","Grade","9th",14.8,11.4,14.4,20.5,26.5,NA,NA,24
"127",2015,"PR","Gender","Female",31.4,10.3,15.7,NA,29.9,61,42.6,12.3
"128",2003,"WV","Total","Total",NA,13.6,15,28.6,33.9,34.2,44,NA
"129",2015,"NC","Total","Total",26.8,16.4,15.9,25.2,30.5,40.8,42,24.3
"130",2017,"MO","Grade","9th",NA,18.5,16.3,32.2,21,47.6,50.5,33.2
"131",2017,"AK","Gender","Female",11.3,12.8,19.3,14.9,20.8,42.8,47.3,13.3
"132",2017,"OK","Race/Ethnicity","Hispanic",23.4,21.1,23.4,29.7,24.4,53.3,47.6,23.7
"133",2007,"US","Race/Ethnicity","Asian",18.5,7.2,13,24.6,25.6,30.7,33.1,NA
"134",2011,"AL","Total","Total",40.9,17,15.8,35.2,40.6,45.7,44.4,28.4
"135",2017,"CA","Gender","Female",9.1,10,15.6,34,20.1,45,41.9,20.6
"136",2007,"LA","Gender","Male",37.3,19.4,20.8,47.8,37.9,53.2,49.6,32.9
"137",2017,"MD","Grade","12th",14.3,13.4,14.8,11.7,22.1,41.3,48.8,15.8
"138",2009,"NC","Grade","9th",31.8,12.1,14.4,NA,37.2,42.7,44.2,28.8
"139",2011,"NC","Gender","Female",26.3,10.9,16.4,NA,33.8,40.6,45.9,18.4
"140",2013,"GA","Total","Total",24.4,12.7,17.1,33.6,32.2,45.2,43.1,24.7
"141",2005,"US","Total","Total",NA,13,15.6,33,37.2,38.3,40.1,NA
"142",2003,"WY","Grade","11th",NA,8.9,10.9,19.7,21,31.1,37.3,NA
"143",2013,"MS","Grade","12th",32.5,14.7,12.6,24.8,33.6,43,50.2,26.7
"144",2003,"ME","Grade","12th",NA,8,11,6.1,19.4,31.5,32.7,NA
"145",2011,"SC","Total","Total",33,13.3,16.3,24.2,39.2,47.8,50.6,25.8
"146",2007,"NH","Race/Ethnicity","Non-Hispanic White",23.7,11.5,13.8,17.4,24.5,27.8,37.4,23.3
"147",2015,"US","Race/Ethnicity","American Indian/Alaska Native",21.8,15.9,12.7,37.4,30.4,44.5,39.6,39.2
"148",2009,"US","Grade","12th",28.3,13.4,14.6,22.4,29.7,36.6,37.1,NA
"149",2013,"NC","Gender","Female",24.8,9.6,16,NA,34.5,39,44.4,15.4
"150",2017,"TX","Grade","9th",18.5,17.9,18,45.9,22.3,47.7,43,29.7
"151",2017,"NM","Gender","Male",23.4,18.2,15.1,29.6,20.9,36.9,40.6,39.1
"152",2017,"GU","Gender","Male",18.4,28.9,15.9,10.3,19.4,41.1,52,25.1
"153",2015,"NY","Grade","12th",14.8,13.7,13.4,17.4,22.3,NA,42.9,20
"154",2011,"WY","Gender","Female",20.9,7,12.6,16.4,19.7,31.7,40.1,17.2
"155",2007,"WV","Grade","12th",37.8,15.2,15.5,15.5,31.3,43.5,46.7,21.7
"156",2015,"WY","Gender","Male",26.6,13.8,15.2,21.6,19.8,36.2,38.4,33.5
"157",2003,"US","Race/Ethnicity","Hispanic",NA,16.2,17.2,36.7,45.9,43.6,38.5,NA
"158",2013,"NC","Grade","10th",25.4,12.9,15.4,NA,36.4,38.3,43.6,24.1
"159",2007,"SD","Grade","11th",31.1,8.8,13.2,10.5,21.1,34.2,38.3,21.7
"160",2015,"DC","Grade","9th",20.5,14.4,19,NA,34.9,47.4,45.1,17.3
"161",2017,"HI","Grade","11th",10.2,14,13.7,5,16.9,39.8,50.2,19.6
"162",2005,"UT","Race/Ethnicity","Hispanic",NA,5.5,16.4,25.9,32.5,36.3,54,NA
"163",2017,"US","Grade","10th",19.5,14.9,16.2,30.2,21.6,39.2,39.8,25.6
"164",2017,"KY","Grade","9th",25.3,19.4,15,34.7,21.2,49.7,48.8,27.2
"165",2017,"CO","Total","Total",NA,9.5,12.3,13.1,16.8,NA,NA,27.4
"166",2013,"UT","Total","Total",13.5,6.4,11,18.6,14.9,30.8,33,19.7
"167",2005,"US","Grade","12th",NA,12.6,14.8,22.4,31.4,38.3,41.7,NA
"168",2011,"GA","Grade","10th",28.2,15.7,17.4,29,36.7,43.2,44.9,26.4
"169",2003,"US","Gender","Male",NA,15.7,15.2,30.5,39.3,36.6,38.9,NA
"170",2017,"KS","Gender","Female",12.4,10.2,16.1,19.2,15.5,37.9,37.6,19.9
"171",2017,"VA","Race/Ethnicity","Non-Hispanic Black",15.9,16.9,19.5,12,27,51.4,41.6,22.6
"172",2011,"KS","Race/Ethnicity","2 or more races",27.7,NA,NA,23.6,33.9,40.9,43.4,22.7
"173",2011,"WY","Gender","Male",31,14.9,11.5,26.8,21.4,30.8,35.7,34.3
"174",2013,"OK","Grade","12th",29.3,11.8,16.8,26.1,33.9,41.5,49.4,30
"175",2015,"RI","Gender","Male",15.6,16.2,15.2,16.7,22.6,43.4,38.9,27.7
"176",2013,"ID","Grade","11th",17.6,10.1,17.1,23.5,21.4,32.2,36.7,28.3
"177",2017,"MT","Grade","11th",15.1,10.7,15,23.3,16.6,37.6,43.4,24.7
"178",2015,"US","Total","Total",20.4,13.9,16,29.8,24.7,39,36.7,27.1
"179",2007,"US","Race/Ethnicity","2 or more races",29.6,13.5,18.5,25.5,37.5,33.4,32.9,NA
"180",2007,"MS","Race/Ethnicity","Non-Hispanic White",50.3,15.9,12.2,19,28.2,38.4,48.7,23.3
"181",2017,"GU","Total","Total",19,23,19.3,8,20.3,43.5,54,19.9
"182",2001,"WY","Total","Total",NA,6.5,10.6,30.9,24.7,29.7,38.1,NA
"183",2015,"US","Grade","10th",20.8,15.2,15.5,31.5,24.5,40.1,37.1,27.8
"184",2005,"CO","Total","Total",NA,9.6,10.1,16.6,26.8,33.3,36.5,NA
"185",2005,"IA","Gender","Male",NA,15.5,16.5,11.3,31.8,40.1,40.5,NA
"186",2011,"US","Total","Total",27.8,13,15.2,31.5,32.4,37.7,36,28.7
"187",2015,"GU","Grade","11th",14.8,16.5,16.2,6.4,25.4,38,52.4,28.4
"188",2009,"US","Grade","11th",28.5,11.7,13.9,27.6,30.8,35.3,34.6,NA
"189",2015,"ID","Grade","11th",13.9,11.1,18,18.7,17.6,32.3,40.1,31.1
"190",2017,"TX","Grade","12th",17.7,18.2,17.8,19,22.1,48.5,46,18.8
"191",2005,"HI","Total","Total",NA,13.1,13.7,12.1,36.9,38.7,47,NA
"192",2011,"US","Grade","10th",27.3,12.8,14.4,33.1,33.6,36.9,34,30.8
"193",2013,"LA","Total","Total",NA,13.5,16.4,33.6,33.7,NA,NA,NA
"194",2015,"PA","Grade","10th",17.4,12.8,16.6,18.8,26.7,43.1,40.3,25.7
"195",2003,"IN","Race/Ethnicity","Non-Hispanic White",NA,10.2,13.4,20.8,28.3,33.7,41.6,NA
"196",2013,"NM","Gender","Female",17.3,8.5,15,20.6,25.7,37.7,44.8,23.5
"197",2011,"LA","Total","Total",40.1,16.1,19.5,42.5,41.1,50.1,47.8,24.2
"198",2003,"WV","Grade","9th",NA,12.9,16.4,48.5,41.4,34.6,45.5,NA
"199",2015,"IL","Gender","Female",14.1,8.4,14.6,59.8,21.6,43.8,41.2,19.9
"200",2011,"IL","Grade","10th",27.6,12.1,14.8,62,32.6,43.6,38.4,22
"201",2011,"AK","Gender","Male",23,14,14.1,21.8,25.6,34.8,39.4,28
"202",2005,"NC","Race/Ethnicity","Non-Hispanic Black",NA,17.3,21.6,42.4,57.2,NA,NA,NA
"203",2007,"AR","Grade","9th",37.2,13.3,12.4,47.4,35,45.9,49.2,NA
"204",2015,"OK","Gender","Male",33.4,22,13.9,41.3,29.9,40.9,41.5,43.6
"205",2007,"IA","Race/Ethnicity","Non-Hispanic White",33.1,10.7,12.1,20,22.7,30.9,38.1,26
"206",2007,"MI","Gender","Male",34.6,14.9,17.3,33.5,34.7,40.1,42.9,28.3
"207",2007,"MT","Gender","Male",31.1,13.7,13.8,37.4,24.9,34.9,39.5,28.8
"208",2005,"OK","Gender","Male",NA,18.1,15.8,39.6,41.3,42,47.3,NA
"209",2007,"IN","Total","Total",35.6,13.7,15.2,25.2,28.7,37.6,39.7,23.5
"210",2013,"WY","Grade","9th",21.4,8.8,13.5,32.4,23.3,34.3,40.3,31.6
"211",2011,"NY","Grade","10th",20.5,10.1,14.1,18.2,30.5,NA,36.1,25.7
"212",2005,"AZ","Total","Total",NA,11.8,13.6,26.2,32.8,43.4,47.7,NA
"213",2003,"UT","Gender","Male",NA,8.3,12.8,28.6,25,29,33.1,NA
"214",2009,"TN","Grade","12th",41.3,17.1,16.2,13.3,32.4,43,50.5,20.4
"215",2003,"OK","Gender","Male",NA,15.9,12.5,34.5,37.4,43.5,47.4,NA
"216",2003,"OH","Grade","9th",NA,16.7,10.7,58,39.8,NA,36.2,NA
"217",2015,"NY","Gender","Male",16.4,16.1,13.9,17.8,21.7,NA,45.8,27.8
"218",2005,"HI","Gender","Female",NA,7.9,11.7,8.4,37,40.8,50,NA
"219",2009,"IL","Gender","Male",35.3,14.7,16.7,67.7,36.9,45,40.6,31.8
"220",2009,"KY","Grade","9th",35.8,17.6,14.6,41.3,27.4,42.4,52.5,25.6
"221",2007,"FL","Race/Ethnicity","Non-Hispanic White",32.7,9.5,13.1,24,28.7,35.1,41.4,NA
"222",2013,"MI","Gender","Male",23.5,17.3,15.7,32.4,27.7,38.5,40.3,33.7
"223",2005,"OK","Total","Total",NA,15.1,15.8,31.3,38.8,42.4,48.2,NA
"224",2007,"KY","Gender","Male",44.1,19.7,17.2,23.5,27.7,44.1,52.4,24
"225",2001,"TX","Grade","11th",NA,13.3,15.7,29.7,41.7,44.3,45.6,NA
"226",2011,"WV","Grade","10th",42.4,15.2,16.4,35.4,31.9,36.6,35.4,30.3
"227",2005,"HI","Grade","11th",NA,14.7,15.3,6.8,43.5,40.8,53.6,NA
"228",2013,"GA","Race/Ethnicity","Hispanic",28.4,16.7,20.7,37,32.4,45.7,31.8,23.2
"229",2003,"MS","Grade","9th",NA,16.9,15.1,23.5,53.8,44,45.1,NA
"230",2009,"AZ","Total","Total",28.1,12.8,14.3,32.6,33.3,NA,NA,25.7
"231",2005,"MI","Grade","11th",NA,13,12.4,22.3,33.1,41.5,44.3,NA
"232",2007,"WY","Grade","11th",27,8,10,17.7,18.9,36.4,44.3,22.7
"233",2015,"SD","Gender","Female",17.4,10.3,13.3,11,21.7,39.2,45.5,18.8
"234",2011,"MI","Total","Total",23.6,12.1,15.3,26.7,29.5,36.8,37.8,27
"235",2015,"KY","Grade","9th",28.5,16.4,16.6,37.6,23.3,51.7,50.8,22
"236",2015,"MT","Gender","Male",23.9,13,15.1,36.8,21.9,33.7,38.3,36.3
"237",2011,"AZ","Grade","11th",19,11.6,15.6,23.6,27.2,NA,NA,21.5
"238",2019,"FL","Gender","Male",20.1,16.2,14,28,21.7,47,43.7,30.8
"239",2015,"NV","Total","Total",13.7,12.2,15,29.1,22.1,40.9,40,28.6
"240",2005,"AL","Grade","12th",NA,13.2,17.8,27.4,30.8,44.6,49.5,NA
"241",2015,"DE","Race/Ethnicity","Hispanic",22.8,16.3,16.3,14,30.1,NA,36.6,20.2
"242",2015,"VT","Race/Ethnicity","American Indian/Alaska Native",25.1,16.6,13.8,NA,NA,32.4,34.2,28.5
"243",2013,"FL","Gender","Male",25.3,14.9,13.4,30.9,31.5,41.9,35.5,34.1
"244",2017,"KS","Total","Total",15.6,13.1,15.3,24.6,14.5,39.2,38.1,26.5
"245",2017,"HI","Total","Total",11,14.2,14.2,5.8,18.4,43.8,51.3,19.6
"246",2009,"WY","Gender","Female",20.3,8.3,11.7,19.3,19.8,32,41.7,17.2
"247",2019,"NM","Gender","Female",14.7,12.1,17.1,22,20.7,44.4,51,20.4
"248",2001,"MA","Race/Ethnicity","Hispanic",NA,13.5,20,23.7,43.9,NA,NA,NA
"249",2013,"OK","Race/Ethnicity","Non-Hispanic White",32.2,9.9,14.4,29.2,25,44.5,50.4,39.5
"250",2019,"LA","Total","Total",19.7,16.5,17.8,25.8,24.6,55.1,53.1,21
"251",2013,"AL","Race/Ethnicity","Non-Hispanic White",33.7,15,17.2,35,25.7,39.3,49.5,26.9
"252",2019,"IA","Gender","Female",12.7,14.7,17.7,11.5,21.2,44.7,45.7,18.2
"253",2013,"AR","Grade","11th",29.4,15.9,15.9,18.5,28.1,41.8,47.4,24.1
"254",2015,"PA","Grade","9th",15.5,12.3,18,22.2,30.3,40.1,39.1,27.8
"255",2011,"KS","Race/Ethnicity","Non-Hispanic White",23.1,9.1,12.9,25.4,23.3,34.3,41,31
"256",2013,"VA","Grade","12th",25.1,14.8,15.5,6.2,29.7,38.7,37.6,19.8
"257",2019,"OK","Race/Ethnicity","American Indian/Alaska Native",30.6,22.1,18.2,30.2,26.4,50.4,56.2,33.9
"258",2015,"VA","Race/Ethnicity","Hispanic",14.1,14.9,21,15.9,25.8,46.8,40.5,17.3
"259",2003,"AZ","Gender","Male",NA,15.8,13.7,27.1,40.7,37.6,39.5,NA
"260",2019,"ME","Grade","9th",NA,13.8,14.8,7.7,19.7,NA,38.4,21.8
"261",2019,"MI","Grade","10th",15.7,15,17.2,20,18.3,45.7,44,20.2
"262",2011,"UT","Gender","Male",17.9,12.2,13.6,16.9,19.8,32.8,32.8,27.1
"263",2019,"MA","Grade","12th",15.5,13.3,17.3,18,NA,39,48.3,15.6
"264",2001,"US","Race/Ethnicity","2 or more races",NA,9.2,14.6,33.8,40.6,32.7,34.9,NA
"265",2019,"HI","Race/Ethnicity","Non-Hispanic White",11.7,5.9,9.1,4.9,13.9,36.8,46.8,19.2
"266",2005,"MI","Gender","Female",NA,7.9,12.4,23.1,33.2,36.7,40.1,NA
"267",2019,"NC","Race/Ethnicity","2 or more races",18.7,19.8,23.4,24.2,31.3,44.2,40.4,20.8
"268",2009,"NM","Grade","9th",31,12.5,15.3,47.2,34.1,39.1,40.1,26.3
"269",2017,"GU","Grade","10th",17.2,23.4,20.9,9.7,18.7,41.7,55.8,17.2
"270",2017,"HI","Grade","10th",10.7,14.9,14.4,5.6,19.3,45.3,53.3,18.1
"271",2013,"WI","Gender","Female",14.7,8.1,14,38.5,23.4,NA,30.7,18.3
"272",2019,"NH","Race/Ethnicity","Asian",5.2,6.2,13.6,NA,NA,NA,NA,14.6
"273",2017,"AK","Race/Ethnicity","American Indian/Alaska Native",20.7,13.5,22.4,23.5,26.4,56.4,54.9,14.7
"274",2007,"WV","Race/Ethnicity","Non-Hispanic White",45.5,14.8,16.8,25.3,30.5,39.7,44.5,26.2
"275",2017,"OK","Grade","11th",22.3,16,15.6,19.3,19.9,46.9,51.2,28.9
"276",2019,"FL","Race/Ethnicity","Hispanic",14.8,14.6,18.6,17.4,21.6,49.6,42.8,21
"277",2015,"KY","Grade","11th",35.2,17.3,15.7,12.5,24.9,38.3,47,20.8
"278",2019,"FL","Race/Ethnicity","Asian",14.8,8.7,9.3,22.1,14.8,36.9,41.1,26.9
"279",2019,"CT","Grade","12th",13,15.1,15.9,NA,22.2,39.4,43.1,22.4
"280",2009,"MI","Race/Ethnicity","Asian",18,8,5.9,31.7,26.7,38,38.1,20.3
"281",2017,"NC","Gender","Female",18.1,12.1,17.8,19.7,25.1,42.1,42.2,13.9
"282",2007,"ID","Grade","10th",26.4,9.4,10.8,31.8,23.6,35,40.8,22.3
"283",2017,"AK","Total","Total",14.7,13.7,17.5,17.7,20.6,41.6,46.4,18.4
"284",2019,"IA","Total","Total",17.6,17,15.9,12.1,20.3,43.1,44.6,25.7
"285",2009,"TX","Total","Total",32.8,13.2,15.2,37.4,36.3,44.5,40.2,27.2
"286",2015,"KY","Race/Ethnicity","Hispanic",24.1,19,11.8,23.1,32.7,49.1,52.1,27.7
